Which of the following was NOT a Romantic era composer?;Igor Stravinsky;
Which of the following choices places the eras listed in proper chronological order?;Renaissance, Baroque, Classical, Romantic;
Which of the following was NOT a Baroque composer?;Wolfgang Amadeus Mozart;
During which era did the piano become the keyboard instrument of choice?;Classical era;
Music that has no external reference to text, story, dance or any other artistic influence is called ______________;absolute music;
True or False? All music throughout the world developed from the Euro-American (Western) tradition, so a student of music need only study the music of the great Western masters;FALSE;
In Antiquity, how was most music handed down from generation to generation?;Through an aural or oral tradition;
The music from which era is best described as being “methodical with very clear and understandable formal structures”?;Classical era;
Which of the following was NOT a musical development of the Baroque era?;madrigals;
During the Baroque era, harmony…;Consisted of chords with a more filled out, or complete sound;
Which of the following is NOT a musical movement of the 20th Century?;Romanticism;
Which of the following was NOT a 20th Century composer?;Robert Schumann;
What are the four principle elements of sound?;duration, pitch, volume and timbre;
How is music from the Romantic era generally characterized?;passionately expressive and emotional;
Which of the following was the common music practice of the Renaissance?;polyphonic vocal music;
Which of the following is true about referential music?;it was inspired by something outside of the music itself;
Which two of the following were the most important musical developments of the Middle Ages (choose two)?;polyphonic composition;musical notation
Which of the following was NOT a Classical era composer?;George Frideric Handel;
What does “Renaissance” mean?;rebirth;
What is the pitch name of the following notated pitch? <img src='/music/resources/img/note-g.jpg' />;G;
Pitch is the __________ dimension of music.;vertical;
What does forte mean?;strong;
What does piano mean?;soft;
The basic unit of rhythm is the _________.;beat or pulse;
What are the four dimensions of music?;rhythm, volume, pitch and timbre;
Time is the _______________ of music.;aural framework;
Sound must be _________ to be music;organized;
Rhythm is the __________ dimension of music.;horizontal;
What does crescendo mean?;growing;
In music notation, a <img src='/music/resources/img/sharp.jpg' /> symbol always indicates that the performer should:;play the note a half step higher than the indicated note;
In Western music notation, how many quarter notes are in a whole note?;4;
Silence is the _______________ of music.;aural canvas;
What does mezzo mean?;medium or middle;
Which of the following beat patterns best decsribes the track below? <a href='http://youtu.be/izQsgE0L450'>Samuel Barber - Adagio for Strings</a>;Slow;
Which of the following dynamic markings is softest?;<img src='/music/resources/img/pp.jpg' />;
Which of the following beat patterns best decsribes the track below? <a href='http://youtu.be/Q9V1saIKd-g'>Johann Strauss II - Thunder And Lighting. polka Op. 324</a>;Fast;
Sound is the _______________ of music.;aural paint;
Doubling the rate of vibration of a pitched sound source:;raises the pitch of the sound by an octave;
The loudness or softness of music is referred to as:;dynamics;
What is the pitch name of the following notated pitch? <img src='/music/resources/img/note-f.jpg' />;F;
Which of the following dynamic markings is strongest or loudest?;<img src='/music/resources/img/ff.jpg' />;
In Western music notation, how many eighth notes are in a quarter note?;2;
We create rhythm by dividing time into measurable _________.;durations;
In music notation, a <img src='/music/resources/img/flat.jpg' /> symbol always indicates that the performer should:;play the note a half step lower than the indicated note;
The characteristic of a sound that gives each instrument its unique sound (e.g., makes a trumpet sound like a trumpet) is known as its:;timbre;
